ID,tic_id,r_s,e_r_s,r_p,a,P_days,inc,period,duration,vshape,median,mean,max_depth,oot_variability,snr
000018,229554602,6610326.34630567,69913.52159293814,0.7454142553997376,1393477386.2677336,0.4210895278394822,90,3.8265210218517054,0.046 d,1.9259259259259258,0.05995482947676711,0.05995482947676711,0.05995482947676711,0.0189826719263628,3.15985323093634
000018,229554602,6610326.34630567,69913.52159293814,0.7454142553997376,1393477386.2677336,0.4210895278394822,90,5.172820471063579,0.046 d,1.8703703703703705,nan,nan,nan,0.02204414559288446,nan
000019,343296348,6529925.756456268,49122.13638741384,0.8346629376385328,938355717.9115161,0.23699969992746703,90,7.548663285599739,0.022 d,1.9615384615384615,nan,nan,nan,0.044565784496530675,nan
000019,343296348,6529925.756456268,49122.13638741384,0.8346629376385328,938355717.9115161,0.23699969992746703,90,4.200986111178564,0.022 d,2.0,nan,nan,nan,0.03309438030127938,nan
000019,343296348,6529925.756456268,49122.13638741384,0.8346629376385328,938355717.9115161,0.23699969992746703,90,2.9113458217047166,0.022 d,1.9615384615384615,nan,nan,nan,0.02695786740462798,nan
000019,343296348,6529925.756456268,49122.13638741384,0.8346629376385328,938355717.9115161,0.23699969992746703,90,1.9995312114496282,0.022 d,1.8399999999999996,nan,nan,nan,0.022407886936071795,nan
000020,1204673951,6227900.041490904,76590.95143302056,0.834287074204933,1183766936.5132017,0.36053361445538296,90,1.08192307881443,0.01 d,2.0,0.1258460108207875,0.1278207459848062,0.164336398615895,0.023719331482986064,5.377796730291174
000020,1204673951,6227900.041490904,76590.95143302056,0.834287074204933,1183766936.5132017,0.36053361445538296,90,2.1633389644771293,0.01 d,2.0,0.23043727098804268,0.23043727098804268,0.23720349483442082,0.035621582379881216,6.462403440241064
000020,1204673951,6227900.041490904,76590.95143302056,0.834287074204933,1183766936.5132017,0.36053361445538296,90,1.4413482665839132,0.01 d,1.3636363636363635,0.1412624371251059,0.1412624371251059,0.1412624371251059,0.02688005895304569,5.254955587046305
000020,1204673951,6227900.041490904,76590.95143302056,0.834287074204933,1183766936.5132017,0.36053361445538296,90,4.685302814272959,0.01 d,1.4545454545454546,0.16783584958665065,0.16783584958665065,0.19017051245710326,0.04786986379590724,3.504397606159853
000021,46377509,5714873.8277445,90557.46399034046,0.9501556242529696,4508071454.82778,3.048141481702094,90,6.096088939736294,0.01 d,2.0,0.28096020206852423,0.4152916810966082,0.8112009839989226,0.04268970992070407,9.733789926839858
000021,46377509,5714873.8277445,90557.46399034046,0.9501556242529696,4508071454.82778,3.048141481702094,90,3.045331587442114,0.01 d,1.9090909090909092,0.13977184829739087,0.1587242902425826,0.2512873861990812,0.026746019832274086,5.931662394682849
000021,46377509,5714873.8277445,90557.46399034046,0.9501556242529696,4508071454.82778,3.048141481702094,90,3.8093425207253753,0.01 d,1.6363636363636365,nan,nan,nan,0.03246107545294683,nan
000021,46377509,5714873.8277445,90557.46399034046,0.9501556242529696,4508071454.82778,3.048141481702094,90,1.0158726707582002,0.01 d,2.0,0.07933146072280106,0.1157636067904505,0.1946758276171794,0.015580703006738339,7.410933860971349
000022,217541509,4932339.195395153,48922.84546204445,0.8513469138684464,6778299244.272668,7.009073403995492,90,7.008543091687779,0.01 d,1.6363636363636345,0.39807598841336433,0.4662191267907828,0.6941379523402292,0.04169702688113793,11.185250506043193
000022,217541509,4932339.195395153,48922.84546204445,0.8513469138684464,6778299244.272668,7.009073403995492,90,3.5050931196051183,0.01 d,1.3636363636363635,0.1710641921544327,0.163867033894616,0.20212596248452963,0.028650567651115268,5.723124771994438
000022,217541509,4932339.195395153,48922.84546204445,0.8513469138684464,6778299244.272668,7.009073403995492,90,2.3379350275143493,0.01 d,1.4545454545454546,0.09867081970931635,0.09867081970931635,0.10823276017208827,0.022690266275007007,4.339121300603825
000022,217541509,4932339.195395153,48922.84546204445,0.8513469138684464,6778299244.272668,7.009073403995492,90,4.674774057856287,0.01 d,1.6363636363636365,0.1347196785210899,0.15959151281614725,0.26351081090282635,0.03397867724175748,4.695319369530104
000024,288453456,6564659.128527028,60321.42079693217,0.9707983190244935,7258533377.769477,5.058409114885323,90,5.057745941437701,0.01 d,2.0,0.12764457213279257,0.13710810017019015,0.22569908224797242,0.017097380207750597,8.01523856471162
000024,288453456,6564659.128527028,60321.42079693217,0.9707983190244935,7258533377.769477,5.058409114885323,90,7.591238787465689,0.01 d,1.7272727272727273,nan,nan,nan,0.02138721238212489,nan
000024,288453456,6564659.128527028,60321.42079693217,0.9707983190244935,7258533377.769477,5.058409114885323,90,9.28448233352476,0.01 d,1.9090909090909092,nan,nan,nan,0.023033714123314807,nan
000024,288453456,6564659.128527028,60321.42079693217,0.9707983190244935,7258533377.769477,5.058409114885323,90,3.0350722074827132,0.01 d,1.2727272727272727,nan,nan,nan,0.013735929062811894,nan
000025,147423571,6756845.161547463,103512.03882950473,0.5421673666721177,3881351104.246532,1.8941630033082344,90,5.074842515688356,0.015 d,2.0,0.08111727450805828,0.08111727450805828,0.08111727450805828,0.023363986795191343,3.4651402364712487
000025,147423571,6756845.161547463,103512.03882950473,0.5421673666721177,3881351104.246532,1.8941630033082344,90,6.171987136024648,0.015 d,1.8823529411764706,nan,nan,nan,0.025821422571675186,nan
000025,147423571,6756845.161547463,103512.03882950473,0.5421673666721177,3881351104.246532,1.8941630033082344,90,7.634054421033183,0.015 d,2.0,nan,nan,nan,0.028504651199718362,nan
000025,147423571,6756845.161547463,103512.03882950473,0.5421673666721177,3881351104.246532,1.8941630033082344,90,2.852991249809248,0.015 d,1.7647058823529411,nan,nan,nan,0.017577783038511013,nan
000027,154567033,6463181.098465941,58984.100731440834,1.2917379362010881,801260178.5012187,0.18991084051695478,90,7.216543973934115,0.01 d,1.8181818181818181,0.21796320222833565,0.1960252371055915,0.22700873799935972,0.026308277635122532,7.451313999432786
000027,154567033,6463181.098465941,58984.100731440834,1.2917379362010881,801260178.5012187,0.18991084051695478,90,1.139379221407525,0.01 d,2.0,nan,nan,nan,0.01390076727146173,nan
000027,154567033,6463181.098465941,58984.100731440834,1.2917379362010881,801260178.5012187,0.18991084051695478,90,1.7101095704152023,0.01 d,1.6363636363636365,nan,nan,nan,0.01101306404155545,nan
000027,154567033,6463181.098465941,58984.100731440834,1.2917379362010881,801260178.5012187,0.18991084051695478,90,2.6578085440217976,0.01 d,1.8181818181818181,nan,nan,nan,0.0139428611086636,nan
